id;agency_name;website;phone;instagram;telegram;whatsapp;vk;email;other_contacts;agency_url;source_url
1;!SHOWtime;;+7(495)380-02-95 / +7(925)301-35-13;;;;;;;https://eventcatalog.ru/agency/showtime/;https://eventcatalog.ru/agency/event_agentstva/
2;10 Сказок;;+7(965) 428-92-73;;;;;;;https://eventcatalog.ru/agency/10_skazok/;https://eventcatalog.ru/agency/event_agentstva/
3;100 артистов;;+7(495) 920-36-97;;;;;;;https://eventcatalog.ru/agency/100_artistov/;https://eventcatalog.ru/agency/event_agentstva/
4;100 друзей;;+7(495) 762-89-32;;;;;;;https://eventcatalog.ru/agency/100_druzey/;https://eventcatalog.ru/agency/event_agentstva/
5;100 Праздников;;+7(812) 635-73-99 / +7(812) 938-12-30;;;;;;;https://eventcatalog.ru/agency/100_prazdnikov/;https://eventcatalog.ru/agency/event_agentstva/
6;100 Чудес;;+7(921)947-11-56 / +7(921)905-62-37;;;;;;;https://eventcatalog.ru/agency/100_chudes/;https://eventcatalog.ru/agency/event_agentstva/
7;1001 Праздник;;+7(495) 542-40-69;;;;;;;https://eventcatalog.ru/agency/1001_prazdnik/;https://eventcatalog.ru/agency/event_agentstva/
8;1001Party;;+7(499)398-26-40;;;;;;;https://eventcatalog.ru/agency/1001party/;https://eventcatalog.ru/agency/event_agentstva/
9;100лицА;;+7(38067) 377-52-10;;;;;;;https://eventcatalog.ru/agency/100lica/;https://eventcatalog.ru/agency/event_agentstva/
10;1147 event;;+7(916)152-01-00;;;;;;;https://eventcatalog.ru/agency/1147_event/;https://eventcatalog.ru/agency/event_agentstva/
11;116 праздников;;+7(843) 250-11-16 / +7(917) 220-00-33;;;;;;;https://eventcatalog.ru/agency/116_prazdnikov/;https://eventcatalog.ru/agency/event_agentstva/
12;12 Месяцев;;+78(964) 107-49-99;;;;;;;https://eventcatalog.ru/agency/12_mesyacev/;https://eventcatalog.ru/agency/event_agentstva/
