name;list_org_url;phone;email;site;address;inn;ogrn
"ООО ""СТАФ-ИВЕНТ""";;;;;129164, Г.МОСКВА, УЛ. БЕРЗАРИНА, Д. 36, СТР. 22, ПОМ/КАБ 3/104;7733232213;1157746383145
"ООО ""ИВЕНТ-АГЕНТСТВО БЕЛКА""";;;;;127081, Г.МОСКВА, ПР-Д ЯСНЫЙ, Д. 11, К. А, КВ. 70;7718285588;5157746080290
"ООО ""ИВЕНТ-ЮРИСТЫ""";;;;;129345, Г.МОСКВА, УЛ. ТАЙНИНСКАЯ, Д. 15, К. 1, КВ. 73;7716812920;5157746198605
"ООО ""ПС ИВЕНТ""";;;;;123308, Г.Москва, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВО-МНЕВНИКИ, УЛ 3-Я ХОРОШЁВСКАЯ, Д. 2, ПОМЕЩ. 31/3;7734718373;1147746130355
"ООО ""ИВЕНТ ПРОДАКШН""";;;;www.eventproduction.ru;101990, Г.МОСКВА, ПЕР. АРМЯНСКИЙ, Д.9;7701537340;1047796337918
"ООО ""РЕСТЭК ИВЕНТ МЕНЕДЖМЕНТ ТЕХНОЛОДЖИ""";;;;http://eventmg.ru;129515, Г.МОСКВА, УЛ. КОНДРАТЮКА, Д. 3, ПОМЕЩ. 10;7717535595;1057747377940
"ООО ""А-ИВЕНТ ПРО""";;;;www.intelsport.ru;105005, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛ РАДИО, Д. 24, К. 1, КОМ. 14;7701995237;1137746332921
"ООО ""ИВЕНТ ГАРМЕНТ ТРЕЙДИНГ""";;;;;113447, Г МОСКВА, УЛ Б ЧЕРЕМУШКИНСКАЯ, Д 10, КОРП 1;7727151326;
"ООО ""ИВЕНТ СИСТЕМЫ""";;+7 (495) 767-67-71;;;121471, МОСКВА ГОРОД, УЛИЦА РЯБИНОВАЯ, Д. 26, СТР. 1, КОМ. 1А;7701417677;5147746457535
"ООО ""РАН ИВЕНТ""";;;;;119049, Г.МОСКВА, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, УЛ ДОНСКАЯ, Д. 14;7704312665;1157746316210
"ООО ""ИВЕНТ 2004""";;;;;125493, Г.МОСКВА, УЛ НАРВСКАЯ, Д. 23;7743541348;1047796798290
"ООО ""Т-ИВЕНТ""";;;;;Г.Москва, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ НАГОРНЫЙ, Ш ВАРШАВСКОЕ, Д. 46;7721576442;1077746267444
"ООО ""ОЛИМПИА ИВЕНТ""";;;;;129345, Г.МОСКВА, УЛ. ТАЙНИНСКАЯ, Д.4, СТР.2;7716579705;5077746896079
"ООО ""ИВЕНТ СТЕЙШЕН""";;;;;115230, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ НАГАТИНО-САДОВНИКИ, ПРОЕЗД ХЛЕБОЗАВОДСКИЙ, Д. 7,СТР. 9, СТР. 9, КОМ./ОФИС 12/65;7718667033;1077760575970
"ООО ""ИВЕНТЕРПРАЙЗ""";;;;;127299, МОСКВА ГОРОД, УЛИЦА ИПАТОВКА НОВАЯ, ДОМ 5, СТРОЕНИЕ 2;7713783847;1147746097619
"ООО ""ИВЕНТУС""";;;;;107076, Г.МОСКВА, ПЕР КОЛОДЕЗНЫЙ, Д. 14, ЭТАЖ 6 КОМНАТА 42В;7718091938;1157746176939
"ООО ""ИВЕНТА""";;;;;125047, Г МОСКВА,УЛ ЧАЯНОВА, Д 8/26;;
"ООО ""ИВЕНТУС""";;+7 (495) 952-54-43;;;125040, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ БЕГОВОЙ, УЛ НИЖНЯЯ, Д. 5, ПОМЕЩ. 6/1;7707356237;5157746116963
"ООО ""ИВЕНТА-Н""";;;;;103305, Г МОСКВА,ПР 1-Й ЗАПАДНЫЙ, СТР 1;;
"ООО ""ЛИД`С ИВЕНТХАУС""";;;;;111020, Г.МОСКВА, УЛ. БОРОВАЯ, Д. 7, СТР. 10, ЭТ I ПОМ I КОМ 2;7722518228;1047796454969
"ООО ""ЭР ПИ АЙ БИЗНЕС ИВЕНТС""";;;;;125445, Г.МОСКВА, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕВОБЕРЕЖНЫЙ, Ш ЛЕНИНГРАДСКОЕ, Д. 130, ПОМЕЩ. 1/14/1;7743566455;1057747768825
"ООО ""ИВЕНТИКА""";;;;;109028, Г.МОСКВА, ПЕР ПОДКОПАЕВСКИЙ, Д. 4, ЭТ 2 ПОМ XIII КОМ 1-10;7702573485;1057747823418
"ООО ""БРУК ИВЕНТС""";;;;www.bruk.ru;115054, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, УЛ ДУБИНИНСКАЯ, Д. 11/17,СТР. 3, СТР. 3, ПОМЕЩ. 10Б/П;7726541612;1067746632656
"ООО ""ИВЕНТ СТОЛИЦА""";;;;www.evst.ru;109651, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ МАРЬИНО, ПРОЕЗД БАТАЙСКИЙ, Д. 35, ПОМЕЩ. 3/2;7709782600;1087746318406
"ООО ""АТО ИВЕНТС""";;;;http://events.ato.ru;119002, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, Б-Р СМОЛЕНСКИЙ, Д. 24,СТР. 2, СТР. 2, ПОМЕЩ. 1/3;7704706476;5087746533111
"ООО РА ""МАКСМЕДИУМ ИВЕНТС""";;;;;125167, Г.МОСКВА, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ АЭРОПОРТ, ПРОЕЗД НОВЫЙ ЗЫКОВСКИЙ, Д. 3, ПОМЕЩ. 19Ц;7727663204;5087746166195
"ООО ""ИВЕНТ ГРУППА ""ВАН МОО""";;+7 (495) 926-16-57;;http://onemoregroup.ru;127083, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ САВЕЛОВСКИЙ, УЛ ВЕРХНЯЯ МАСЛОВКА, Д. 20,СТР. 1, СТР. 1, ПОМЕЩ. АП.8 КОМ. 1;7727687741;1097746185712
"ООО ""ФИШ-ИВЕНТ""";;;;;123242, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, УЛ БОЛЬШАЯ ГРУЗИНСКАЯ, Д. 20, ПОМ./КОМ./ОФ. IV/2/31;7715752770;1097746162161
"ООО ""ГК ""Коммуникатор Креатив Ивентс""";;;;;117208, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ЧЕРТАНОВО СЕВЕРНОЕ, УЛ ЧЕРТАНОВСКАЯ, Д. 9, К. 4, КВ. 66;7725675557;1097746513171
"ООО ""МЕДИ Ивент""";;;;;117638, Г.МОСКВА, УЛ. ОДЕССКАЯ, Д. 2, ПОМ I КОМ 11 ОФ 3;7728705471;1097746422245
"ООО ""ИвентаТранс""";;;;;117587, Г.МОСКВА, Ш ВАРШАВСКОЕ, Д. 125, СТР. 1, ПОМЕЩ. 1А;7723743995;1107746003738
"ООО ""Ивент-Профи""";;;;http://event-profi.msk.ru;107076, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ СОКОЛЬНИКИ, УЛ СТРОМЫНКА, Д. 19, К. 2, ПОМЕЩ. 128;7720707861;1117746059584
"ООО ""МЕНЕДЖМЕНТ ИВЕНТ""";;;;;101000, Г.МОСКВА, ПЕР. АРХАНГЕЛЬСКИЙ, Д. 11/16, СТР. 2, ЭТ 2 ПОМ III КАБ 1;7709881376;1117746556465
"ООО ""Ивент менеджмент""";;;;;117036, Г.МОСКВА, УЛ. ДМИТРИЯ УЛЬЯНОВА, Д.28, К.2, 9;7727758015;1117746651769
"ООО ""ФОРМИКА ИВЕНТ""";;;;;109028, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ТАГАНСКИЙ, ПЕР ТЕССИНСКИЙ, Д. 5,СТР. 1, СТР. 1;7709889632;1117746895144
"ООО ""Френдс Ивентс""";;+7 (903) 170-99-99;;http://friends-events.ru;115569, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ ОРЕХОВО-БОРИСОВО СЕВЕРНОЕ, УЛ ДОМОДЕДОВСКАЯ, Д. 4, ПОМЕЩ. 19П;7724826669;1127746189086
"ООО ""Ивентвижн""";;;;http://eventvision.ru;129226, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ РОСТОКИНО, УЛ СЕЛЬСКОХОЗЯЙСТВЕННАЯ, Д. 17, К. 1, ПОМЕЩ. 1106/1;7725754689;1127746310999
"ООО ""Креативная ивент лаборатория""";;;;;127474, МОСКВА Г., Б-Р БЕСКУДНИКОВСКИЙ, Д. 6, К. 3, КВ. 133;7713746644;1127746307347
"ООО ""Ивент Консалтинг""";;;;;127549, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ БИБИРЕВО, УЛ ПРИШВИНА, Д. 8, К. 2;7725756051;1127746357463
"ООО ""Инжиниринг Дизайн Ивент""";;;;http://ede.tv;127238, Г.МОСКВА, ПР-Д ЛОКОМОТИВНЫЙ, Д. 19, КАБИНЕТ 404;7725755548;1127746343933
"ООО ""ЭйчДи Ивент Менеджмент""";;;;;121069, Г.МОСКВА, ПЕР. ТРУБНИКОВСКИЙ, Д. 24, СТР. 2, КВ. 28;7704812273;1127746563031
"ООО ""Джи Эл Ивентс Восток""";;;;;107045, МОСКВА ГОРОД, ПЕР. БОЛЬШОЙ ГОЛОВИН, Д. 12, СТР. 1, ПОМЕЩ. XI;7723860000;1137746029739
"ООО ""ФАБУНГО ИВЕНТ""";;;;;105264, Г.МОСКВА, УЛ. 5-Я ПАРКОВАЯ, Д.40, К.1, 57;7719839856;1137746232788
"ООО ""АРТ ИВЕНТ""";;;;;109052, Г.Москва, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ НИЖЕГОРОДСКИЙ, УЛ НИЖЕГОРОДСКАЯ, Д. 86, КВ. 104;7707828560;1147746270210
"ООО ""ИВЕНТ-АГЕНТСТВО ""НОВАЯ ЛИГА""";;+7 (926) 641-41-48;buhnewluga@mail.ru;;119334, Г.МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ РАМЕНКИ, УЛ КОСЫГИНА, Д. 28,СТР. 1, СТР. 1;7704876502;5147746201830
"ООО ""ВИА ИВЕНТУС""";;;;;123458, Г.МОСКВА, УЛ. МАРШАЛА КАТУКОВА, Д. 24, К. 4, КВ. 111;7734349969;1157746252410
"ООО ""НС ИВЕНТ МЕНЕДЖМЕНТ""";;;;;109052, Г.МОСКВА, УЛ. НИЖЕГОРОДСКАЯ, Д. 29-33, СТР. 15, ЭТ 3 ОФИС 335В;9715204619;1157746608304
"ООО ""ИВЕНТ ТРЕВЕЛ СОЛЮШНС""";;;;;107140, Г.МОСКВА, ПЛ. КОМСОМОЛЬСКАЯ, Д. 6, ЭТ 1 ПОМ I КОМ 105Б;7708279761;1167746086144
"ООО ""ИВЕНТ СЕРВИС""";;;;;105568, Г.МОСКВА, УЛ. ЧЕЛЯБИНСКАЯ, Д. 13, ОФИС 19;7719438205;1167746154641
"ООО ""ИВЕНТ К""";;;;;127030, Г.Москва, ВНУТРИГОРОДСКАЯ ТЕРРИТОРИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ НОВОСЛОБОДСКАЯ, Д. 20, ПОМЕЩ. 25/1/2;7707360804;1167746155873
