id;status;display_name;legal_name;description;director_title;director_name;legal_address;registration_date;charter_capital;inn;ogrn;revenue;revenue_growth;category;category_parent;rbc_profile_url;source_url;source_page
1;Действует;АНО «ГЕЛЕНДЖИК-2035»;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «КОРПОРАЦИЯ РАЗВИТИЯ «ГЕЛЕНДЖИК-2035»;;Исполнительный Директор;Дьякова Дарья Александровна;край Краснодарский, г.о. Город-Курорт Геленджик, г. Геленджик, пр-кт Геленджикский, д. 171;29.06.2018;—;2304073420;1182375055422;64 338 000,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2304073420;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
2;Действует;PANORAMA360;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СП-КАПИТАЛ»;Смотровая площадка PANORAMA360.;Генеральный Директор;Шакарян Артур Норикович;г. Москва, вн.тер. г. Муниципальный округ Пресненский, наб. Пресненская, д. 12, помещ. 1/89;07.06.2017;500 000,0 ₽;7703428522;1177746563576;462 272 000,0 ₽;15,13%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7703428522;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
3;Действует;iMARUSSIA!;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АЙ, МАРУСЯ!»;iMARUSSIA! — российская экспертная команда в индустрии организации событий и маркетинга.;Генеральный Директор;Савелюк Антон Игоревич;г. Санкт-Петербург, вн.тер. г. Муниципальный округ Академическое, пр-кт Тихорецкий, д. 17, лит Б, офис 11;28.11.2013;33 333,0 ₽;7801617503;1137847461487;78 728 000,0 ₽;148,24%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7801617503;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
4;Действует;Sobytie Communications;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «КОММУНИКАЦИОННАЯ ГРУППА СОБЫТИЕ»;;Генеральный Директор;Стручков Михаил Валерьевич;г. Москва, вн.тер.г. Муниципальный округ Алексеевский, б-р Ракетный, д. 16, помещ. 38;28.02.2007;10 000,0 ₽;7717582845;1077746718851;570 997 000,0 ₽;56,25%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7717582845;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
5;Действует;5 ЗВЁЗД;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «МЫ 5 ЗВЕЗД»;Агентство «5 ЗВЕЗД» — эксперт в деловых мероприятиях: помогаем бизнесу выстраивать коммуникации, усиливать бренд и решать HR-задачи.;Генеральный Директор;Продувалов Игорь Николаевич;г. Москва, вн.тер.г. Муниципальный округ Косино-Ухтомский, ул. Руднёвка, д. 4, помещ. IV, ком.,рм 1,5/3;21.03.2016;100 000,0 ₽;9710009082;1167746280536;308 364 000,0 ₽;-29,40%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9710009082;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
6;Действует;ООО «ОРГКОМИТЕТ СТРОИТЕЛЬ»;Общество с ограниченной ответственностью «ОРГКОМИТЕТ СТРОИТЕЛЬ»;;Директор;Трапезников Вячеслав Анатольевич;Свердловская обл., г. Екатеринбург, ул. Бориса Ельцина, стр 1А, оф. 10.5;18.02.2014;10 000,0 ₽;6658450360;1146658001753;431 710 000,0 ₽;66,98%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=6658450360;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
7;Действует;ООО «ЛБС Международные конференции»;Общество с ограниченной ответственностью «ЛБС Международные конференции»;;Генеральный Директор;Лебедев Роберт;г. Москва, вн.тер.г. муниципальный округ Басманный, ул. Покровка, д. 43, стр. 2;24.04.2009;12 500,0 ₽;7701836822;1097746246311;44 316 000,0 ₽;18,12%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7701836822;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
8;Действует;Secret Point;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СИКРЕТ ПОИНТ»;Агентство Secret Point является частью независимой группы компаний ADWISE, оказывающее услуги в области событийного маркетинга.;Генеральный Директор;Шаталов Алексей Викторович;г. Москва, вн.тер.г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 2, к. 2, этаж 5, помещение 509/2;02.03.2018;20 000,0 ₽;9710051140;1187746230143;133 396 000,0 ₽;25,75%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9710051140;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
9;Действует;«Новые Горизонты»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «НОВЫЕ ГОРИЗОНТЫ»;Разработка стратегии и медиа-отношений (PR полного цикла), реализации на местах (BTL), организации работы со СМИ и блогерами.;Генеральный Директор;Мясникова Елена Александровна;г. Москва, вн.тер. г. Муниципальный округ Красносельский, пер. Орликов, д. 8, кв. 34;22.03.2016;10 000,0 ₽;9705063126;1167746286498;3 810 000,0 ₽;-6,16%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9705063126;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
10;Действует;ООО «Полак Групп»;Общество с ограниченной ответственностью «Полак Групп»;;Генеральный Директор;Поляков Роман Александрович;г. Санкт-Петербург, вн.тер.г. Муниципальный округ Чкаловское, ул. Красного Курсанта, д. 31, стр. 1;28.11.2011;10 000,0 ₽;7842464831;1117847527820;376 846 000,0 ₽;58,38%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7842464831;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
