name;site
Лужники;https://www.luzhniki.ru
ВТБ Арена;https://www.vtb-arena.com
Лукойл Арена;https://www.lukoilarena.ru
ЦСКА Арена;https://www.cska-arena.ru
Live Арена;https://www.livearena.ru
МТС Live Холл;https://www.mtslivehall.ru
СК Олимпийский;N/A
Зелёный театр ВДНХ;https://vdnh.ru
Зелёный театр Парка Горького;https://park-gorkogo.ru
Crocus City Hall;https://crocus-hall.ru
Vegas City Hall;https://vegas-cityhall.ru
Main Stage;N/A
TAU;N/A
Adrenaline Stadium;N/A
Динамо Арена;https://fcdm.ru
Кремлёвский дворец;https://kremlinpalace.org
Концертный зал Зарядье;https://zaryadyehall.ru
Дом музыки;https://www.mmdm.ru
Консерватория им. Чайковского;https://www.mosconsv.ru
Концертный зал Чайковского;https://meloman.ru
Golden Palace;N/A
Известия Hall;N/A
16 тонн;https://16tons.ru
Мумий Тролль Music Bar;N/A
Glastonberry;https://glastonberry.ru
Base Club;N/A
1930 Moscow;https://1930moscow.ru
Arbat Hall;https://arbathall.com
Урбан;N/A
Aglomerat;N/A
Powerhouse Moscow;https://powerhouse-moscow.com
Gazgolder;N/A
Mutabor;N/A
RNDM Club;N/A
Community Moscow;N/A
Stereo People;N/A
Propaganda;N/A
Solyanka;N/A
China Town Cafe;N/A
Papa Bar;N/A
Lookin Rooms;N/A
Blanc;https://blancmoscow.com
Leveldva;N/A
Simach;N/A
Strelka;https://strelka.com
Fantomas Rooftop;N/A
Bunker 42;https://bunker42.com
Arma 17;N/A
Rhythm & Blues Café;N/A
Mezzo Forte;N/A
Rock House;N/A
Jagger Club;N/A
Gipsy;N/A
Shanti Lounge;N/A
Mendeleev Bar;N/A
Парк Горького;https://park-gorkogo.ru
Сокольники;https://sokolniki.com
ВДНХ;https://vdnh.ru
Музеон;https://park-gorkogo.ru/muzeon
Фили Парк;N/A
Skolkovo Park;https://sk.ru
Barvikha Luxury Village;https://barvikhaconcerthall.ru
Istra Park Resort;N/A
Zavidovo;https://zavidovo.com
Sofrino Park;https://sofrino-park.ru
Arthurs Village;https://arthurs.ru
Les Art Resort;https://lesartresort.ru
Peresvet Resort;https://peresvetresort.ru
Imperial Park;https://imperialpark.ru
Forest Hills;N/A
Zvenigorod Park;N/A
Nakhabino Golf Club;N/A
Rublyovka Country Club;N/A
Novorizhskoye Field;N/A
Domodedovo Event Field;N/A
Sheremetyevo Open Space;N/A
Vnukovo Event Grounds;N/A
Moscow River Open Air;N/A
