id;company_name;source_url;website;phone;contact_source_url;enriched_batch
1;ПАО «Нефтяная Компания «Роснефть»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://www.rosneft.ru/;+7 (499) 517-88-99;https://www.rosneft.ru/about/contacts/;1
2;ООО «Лукойл-Резервнефтепродукт-Трейдинг»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
3;ООО «Специализированное Финансовое общество Развития Базовых Отраслей Промышленности»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
4;ООО «Кредит Свисс Секьюритиз (Москва)»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
5;ООО «Ренессанс Брокер»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;+7 (812) 588-68-28;https://www.rusprofile.ru/id/2881462;2
6;ПАО «Мегафон»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://moscow.megafon.ru/help/contacts/;8 800 550‑05‑00;https://moscow.megafon.ru/help/contacts/;1
7;ООО «Анигма»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;http://www.merlion.com/;+7 (495) 981-84-84;https://www.rusprofile.ru/id/1227700622786;1
8;АО Инвестиционная Фирма «Олма»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
9;АО «Росэнерготорг»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
10;АО «федеральная Пассажирская Компания»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
11;ООО «СОЛАР»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
12;ООО «Ватага»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://vataga.trade/;+7 (499) 401-13-33;https://www.rusprofile.ru/id/11833615;1
13;ООО «Русинвест»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
14;ООО «МЕТРО Кэш энд Керри»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://metro-cc.ru/;8 (800) 700-10-77;https://metro-cc.ru/about/feedback;1
15;ООО «Т2 Мобайл»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
16;АО «Металлсервис»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
17;ПАО «Россети Московский Регион»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
18;ГУП Города Москвы «Московский Ордена Ленина и Ордена Трудового Красного Знамени Метрополитен Имени В.И.Ленина»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://mosmetro.ru/;+7 (495) 539-54-54;https://mosmetro.ru/;1
19;ПАО «Фосагро»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;https://www.phosagro.ru/;+7 (495) 232-96-89;https://phosagro.company/ru/contacts.html;1
20;АО «Дорожно-Строительная Компания «Автобан»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
21;АО «Концерн Воздушно-Космической Обороны «Алмаз — Антей»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
22;ООО «Газпром межрегионгаз Москва»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
23;АО «Авилон Автомобильная Группа»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
24;ООО «ИК ВЕЛЕС Капитал»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;http://www.veles-capital.ru/;+7 (495) 500-23-33;https://www.rusprofile.ru/id/959183;1
25;АО «Роснефтегаз»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;+7 (926) 350-46-01;https://www.rusprofile.ru/id/901938;2
26;ООО Торговая компания «Ресурс-Юг»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
27;АО «Холдинговая Компания «Металлоинвест»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;http://www.metalloinvest.com/;+7 (495) 981-55-55;https://www.rusprofile.ru/id/1417937;1
28;ООО «Регион Финансовые Услуги»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
29;ООО «Мечел-Сервис»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
30;ООО «Инвестнефтетрейд»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
31;АО «Дом.РФ»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
32;АО «Металлокомплект-М»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;+7 (8722) 67-39-53;https://www.rusprofile.ru/id/373802;2
33;АО «Арвиай (Рашен Венчур Инвестментс)»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
34;ООО «Модум-Транс»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;;;
35;ООО «Трансстроймеханизация»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;+7 (985) 991-39-48;https://www.rusprofile.ru/id/4366414;2
36;АО «Нефтяная Компания «Нефтиса»;https://focus.kontur.ru/site/populyarnye-kompanii-v-focuse/moskva;;+7 (3952) 53-33-00;https://www.rusprofile.ru/id/2657708;2
