name;website;phone;greatlist_url;notes
#СибирьСибирь;https://moscow.sibirsibir.ru/?utm_source=greatlist.com&utm_medium=partner;+74996525161;https://greatlist.ru/msk/restaurant/sibirsibir/;"Кандидат; Рестораны"
+39 Trattoria&Pizzeria;https://39trattoriapizzeria.ru/?utm_source=greatlist.com&utm_medium=partner;+79671267160;https://greatlist.ru/msk/restaurant/39-trattoriapizzeria/;Рестораны
0.75 please;https://075please.moscow/?utm_source=greatlist.com&utm_medium=partner;+79850750750;https://greatlist.ru/msk/restaurant/075-please/;"Кандидат; Рестораны"
800 Contemporary;https://800degreesmoscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74997693333;https://greatlist.ru/msk/restaurant/800-contemporary/;"Кандидат; Рестораны"
[KU:] Рамен Изакая;https://kuramen.ru/?utm_source=greatlist.com&utm_medium=partner;+74996090069;https://greatlist.ru/msk/restaurant/ku/;"Кандидат; Городские кафе"
Aaark;https://alfa.me/db1OAY;;https://greatlist.ru/msk/restaurant/aaark/;Городские кафе
Anchovy's Club;https://anchovys.club/?utm_source=greatlist.com&utm_medium=partner;+79368884555;https://greatlist.ru/msk/restaurant/anchovys-club/;"Кандидат; Городские кафе"
Bagebi;http://bagebi.ru/?utm_source=greatlist.com&utm_medium=partner;+79037991934;https://greatlist.ru/msk/restaurant/bagebi/;"Кандидат; Рестораны"
Big Wine Freaks;https://bigwinefreaks.ru/msk/?utm_source=greatlist.com&utm_medium=partner;+74959683060;https://greatlist.ru/msk/restaurant/big-wine-freaks-2/;"Кандидат; Бары"
Biwon;https://foliogroup.ru/restaurants/biwon?utm_source=greatlist.com&utm_medium=partner;+74955001060;https://greatlist.ru/msk/restaurant/biwon/;Высокая кухня
Björn;http://bjorn.rest/?utm_source=greatlist.com&utm_medium=partner;+74959539059;https://greatlist.ru/msk/restaurant/bjorn/;"Кандидат; Рестораны"
Boston Seafood & Bar;https://boston-restaurant.ru/?utm_source=greatlist.com&utm_medium=partner;+79636299558;https://greatlist.ru/msk/restaurant/boston-seafood/;"Кандидат; Городские кафе"
Bruno;https://bruno.lucky-group.rest/ru/?utm_source=greatlist.com&utm_medium=partner;+74958189888;https://greatlist.ru/msk/restaurant/bruno/;"Кандидат; Рестораны"
Buro TSUM;http://www.burotsum.com/?utm_source=greatlist.com&utm_medium=partner;+74952767678;https://greatlist.ru/msk/restaurant/buro-tsum/;"Кандидат; Рестораны"
Butler;https://butler.rest/?utm_source=greatlist.com&utm_medium=partner;+74951493574;https://greatlist.ru/msk/restaurant/butler/;"Кандидат; Высокая кухня"
Cantinetta Antinori;http://cantinettaantinori.ru/?utm_source=greatlist.com&utm_medium=partner;+74992413325;https://greatlist.ru/msk/restaurant/cantinetta-antinori/;"Кандидат; Высокая кухня"
Carnicería vino;https://carniceriavino.ru/?utm_source=greatlist.com&utm_medium=partner;+74951331451;https://greatlist.ru/msk/restaurant/carniceria-vino/;"Кандидат; Городские кафе"
Centrale Bistro by Evgeny Vikentev;https://alfa.me/db1OAY;+79252159521;https://greatlist.ru/msk/restaurant/centrale-bistro/;"Кандидат; Городские кафе"
Chainaya. Tea & Cocktails;https://www.instagram.com/chainayateandcocktails/?utm_source=greatlist.com&utm_medium=partner;+74959673052;https://greatlist.ru/msk/restaurant/chainaya-tea-cocktails/;"Кандидат; Бары"
Chef’s Table;https://www.chefs-table.ru/?utm_source=greatlist.com&utm_medium=partner;+79067569599;https://greatlist.ru/msk/restaurant/chefs-table/;"Кандидат; Высокая кухня"
Christian;http://christianforfriends.ru/?utm_source=greatlist.com&utm_medium=partner;+74992432569;https://greatlist.ru/msk/restaurant/christian/;Рестораны
