id;option_value;name;source_url
1;;Управляющая компания;https://www.novikovgroup.ru/contacts/
2;HL_ELEM/1;обращение по дисконтным картам;https://www.novikovgroup.ru/contacts/
3;94651;321 CLUB;https://www.novikovgroup.ru/contacts/
4;110181;5642 Высота Архыз;https://www.novikovgroup.ru/contacts/
5;16498;5642 Высота на Большом Черкасском;https://www.novikovgroup.ru/contacts/
6;110991;IMA;https://www.novikovgroup.ru/contacts/
7;HL_ELEM/3;обращения в HR отдел;https://www.novikovgroup.ru/contacts/
8;100188;5642 Высота;https://www.novikovgroup.ru/contacts/
9;93265;5642 Высота Екатеринбург;https://www.novikovgroup.ru/contacts/
10;16501;5642 Высота Кисловодск;https://www.novikovgroup.ru/contacts/
11;94723;5642 Высота Ростов-на-Дону;https://www.novikovgroup.ru/contacts/
12;16500;5642 Высота Сочи;https://www.novikovgroup.ru/contacts/
13;87137;5642 Высота Якиманка;https://www.novikovgroup.ru/contacts/
14;106396;KAIFUSO;https://www.novikovgroup.ru/contacts/
15;HL_ELEM/2;обращения по подарочным сертификатам;https://www.novikovgroup.ru/contacts/
16;16459;№13;https://www.novikovgroup.ru/contacts/
17;HL_ELEM/4;обращения отдел закупок;https://www.novikovgroup.ru/contacts/
18;57300;Aqua Cafe;https://www.novikovgroup.ru/contacts/
19;HL_ELEM/5;обращения по покупке франшизы;https://www.novikovgroup.ru/contacts/
20;1114;Aquamarine;https://www.novikovgroup.ru/contacts/
21;58545;Assunta Madre;https://www.novikovgroup.ru/contacts/
22;57377;Avocado Queen Ереван;https://www.novikovgroup.ru/contacts/
23;16508;Avocado Queen Ростов-на-Дону;https://www.novikovgroup.ru/contacts/
24;53706;Avocado Queen Санкт-Петербург;https://www.novikovgroup.ru/contacts/
25;101438;Brasserie «Кузнецкий Мост»;https://www.novikovgroup.ru/contacts/
26;100189;BRO&N;https://www.novikovgroup.ru/contacts/
27;51719;BRO&N Камергерский;https://www.novikovgroup.ru/contacts/
28;16473;BRO&N Малая Бронная;https://www.novikovgroup.ru/contacts/
29;101081;BRO&N Сочи;https://www.novikovgroup.ru/contacts/
30;98587;B&B by Novikov;https://www.novikovgroup.ru/contacts/
31;16472;Cantinetta Antinori;https://www.novikovgroup.ru/contacts/
32;16471;China Club;https://www.novikovgroup.ru/contacts/
33;100190;Cihan Turkish Steak and Kebab;https://www.novikovgroup.ru/contacts/
34;102193;Cihan Turkish Steak and Kebab Новая Рига;https://www.novikovgroup.ru/contacts/
35;16470;Cihan Turkish Steak and Kebab Новый Арбат;https://www.novikovgroup.ru/contacts/
36;94952;Cihan Turkish Steak and Kebab Хамовники;https://www.novikovgroup.ru/contacts/
37;16468;Fumisawa Sushi;https://www.novikovgroup.ru/contacts/
38;16466;IL Solo Pizza & Pasta;https://www.novikovgroup.ru/contacts/
39;101926;Kitana Asia Grill;https://www.novikovgroup.ru/contacts/
40;16465;La Fabbrica;https://www.novikovgroup.ru/contacts/
41;16502;#FARШ;https://www.novikovgroup.ru/contacts/
42;106160;Lali Авиапарк;https://www.novikovgroup.ru/contacts/
43;101997;LALI Адлер;https://www.novikovgroup.ru/contacts/
44;102067;LALI Воронеж;https://www.novikovgroup.ru/contacts/
45;101195;LALI Красная Поляна;https://www.novikovgroup.ru/contacts/
46;100866;LALI Ташкент;https://www.novikovgroup.ru/contacts/
47;16462;Maroon;https://www.novikovgroup.ru/contacts/
48;101357;Maroon Красноярск;https://www.novikovgroup.ru/contacts/
49;98331;Meraki;https://www.novikovgroup.ru/contacts/
50;94648;Medusa Сочи;https://www.novikovgroup.ru/contacts/
51;16517;#FARШ Санкт-Петербург;https://www.novikovgroup.ru/contacts/
52;99563;Miss You;https://www.novikovgroup.ru/contacts/
53;98967;Moró;https://www.novikovgroup.ru/contacts/
54;98759;Mr. Lee;https://www.novikovgroup.ru/contacts/
55;16460;NAMA;https://www.novikovgroup.ru/contacts/
56;1112;Nino;https://www.novikovgroup.ru/contacts/
57;101901;Novikov Abu Dhabi;https://www.novikovgroup.ru/contacts/
58;99937;Novikov Beverly Hills;https://www.novikovgroup.ru/contacts/
59;57297;Novikov Bodrum;https://www.novikovgroup.ru/contacts/
60;102053;Novikov Brasserie;https://www.novikovgroup.ru/contacts/
61;90479;Novikov Cafe Dubai;https://www.novikovgroup.ru/contacts/
62;101899;NOVIKOV CAFÉ MUSCAT;https://www.novikovgroup.ru/contacts/
63;101904;Novikov Cafe Tashkent;https://www.novikovgroup.ru/contacts/
64;16458;Novikov Cafe Баку;https://www.novikovgroup.ru/contacts/
65;16504;NOVIKOV DOHA;https://www.novikovgroup.ru/contacts/
66;57375;Novikov Istanbul;https://www.novikovgroup.ru/contacts/
67;101905;Novikov Limassol;https://www.novikovgroup.ru/contacts/
68;16505;Novikov London;https://www.novikovgroup.ru/contacts/
69;16506;Novikov Miami;https://www.novikovgroup.ru/contacts/
70;16457;Novikov Moscow;https://www.novikovgroup.ru/contacts/
71;16507;NOVIKOV PORTO CERVO;https://www.novikovgroup.ru/contacts/
72;92689;Novikov School Cafe;https://www.novikovgroup.ru/contacts/
73;57627;Onest;https://www.novikovgroup.ru/contacts/
74;102044;Pro.Мидии;https://www.novikovgroup.ru/contacts/
75;100448;PRO.Хинкали Авиапарк;https://www.novikovgroup.ru/contacts/
