название;тип_лофт;телефон;сайт;ссылка
"""Комната"". Бильярд, Музыка, Еда.";Лофт, ресторан, бар, игровой зал, переговорная;+7 981 291-72-02;N/A;https://www.loft2rent.ru/loft/162190/162193/
"""Культурный зал""";Зал;+79213544851;https://www.loft2rent.ru/loft/110170/;https://www.loft2rent.ru/loft/110170/110173/
"""ЛОФТ-БАР"" с караоке";Лофт, бар, игровой зал;+7 962 699-21-44;https://www.loft2rent.ru/loft/80548/;https://www.loft2rent.ru/loft/80548/80550/
"""Не верь никому"" - Караоке лофт Секретные Материалы";Караоке лофт Секретные Материалы - Лофт, антикафе;+73433630042;https://www.loft2rent.ru/loft/115047/;https://www.loft2rent.ru/loft/115047/150528/
"""Ничто не вечно"" - Караоке лофт Секретные Материалы";Караоке лофт Секретные Материалы - Лофт;+73433630042;https://www.loft2rent.ru/loft/115047/;https://www.loft2rent.ru/loft/115047/151576/
"""Подземелье Слизерин""";Квест;+79013337731;https://www.loft2rent.ru/loft/39148/;https://www.loft2rent.ru/loft/39148/84115/
1 зал Караоке Лофт-студии;Лофт;+7 (968) 992 44 84;https://www.loft2rent.ru/loft/12511/;https://www.loft2rent.ru/loft/12511/19907/
1 Зал Шайн 45 м2;Лофт, бар, кальянная;89612267251;https://www.loft2rent.ru/loft/125716/;https://www.loft2rent.ru/loft/125716/125718/
16 Тонн Арбат;Банкетный зал, бар;89264331399;N/A;https://www.loft2rent.ru/loft/197584/201762/
1839Винтажный зал в центре Москвы, зал Винтаж;Фотостудия;+7 (929) 908 11 01;N/A;https://www.loft2rent.ru/loft/210279/210337/
1930 Moscow;Зал, концертный зал, клуб, веранда;+7 925 747 1930;N/A;https://www.loft2rent.ru/loft/81295/81299/
2 Зал Караоке Лофт-студии;Лофт;+7 (968) 992 44 84;https://www.loft2rent.ru/loft/12511/;https://www.loft2rent.ru/loft/12511/19910/
2-х уровневое пространство с террасой;Лофт, зал, веранда, кальянная;89031888081;https://www.loft2rent.ru/loft/49928/;https://www.loft2rent.ru/loft/49928/111523/
207;Лофт, фотостудия;+79689739030;https://www.loft2rent.ru/loft/2518/;https://www.loft2rent.ru/loft/2518/69120/
"21.KultСтаринные залы в особняке 18 века ""21.KULT""";Лофт, особняк;7 989 595 2121;N/A;https://www.loft2rent.ru/loft/82207/82209/
3 Зал Бруклин 100 м2;Лофт, кальянная;89612267251;https://www.loft2rent.ru/loft/125716/;https://www.loft2rent.ru/loft/125716/150261/
3 зал Караоке Лофт-студии;Лофт;+7 (968) 992 44 84;https://www.loft2rent.ru/loft/12511/;https://www.loft2rent.ru/loft/12511/31360/
3-е место - лофт на Тульской;лофт на Тульской - Лофт, бар, веранда, кальянная;+79166683000;https://www.loft2rent.ru/loft/75181/;https://www.loft2rent.ru/loft/75181/75225/
300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД;Сити Око на 70 этаже за МИЛЛИАРД - Апартаменты, отель;+79111023333;https://www.loft2rent.ru/loft/107530/;https://www.loft2rent.ru/loft/107530/129979/
314 LoftЛофт на Кленовом бульваре | Коломенской;Лофт;+74996479316;N/A;https://www.loft2rent.ru/loft/74753/74755/
4 зал Караоке Лофт-студии;Лофт, зал;+7 (968) 992 44 84;https://www.loft2rent.ru/loft/12511/;https://www.loft2rent.ru/loft/12511/68928/
44 Sky Daimond Aparment;Апартаменты;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172052/
45 floor Big Apartments Москва Сити;Апартаменты;89958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172886/
46 Black Apartments Москва Сити;Апартаменты;89958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/171817/
4Brewers pub;Коворкинг, ресторан;89364444815;N/A;https://www.loft2rent.ru/loft/196740/197421/
5 Зал Лондон 90 м2;Лофт, кальянная;89612267251;https://www.loft2rent.ru/loft/125716/;https://www.loft2rent.ru/loft/125716/162511/
54 floor Rise Global Угловой большой апартамент с заворажевающим видом на башни и Столицу!;Апартаменты, отель;89958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/196543/
55 floor Atlanta Apartments Москва Сити;Апартаменты;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172249/
6 Зал Мани 55 м2;Кабинет, лофт, кальянная;89612267251;https://www.loft2rent.ru/loft/125716/;https://www.loft2rent.ru/loft/125716/160862/
61 floor Sky Апартмент в Москва Сити;Апартаменты;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172202/
66 floor Magic Апартаменты в Москва Сити;Апартаменты;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172453/
66 floor Rise Apartments EXСLUSIVE Угловой апартамент с замораживающим видом и ванной у окна!;Апартаменты, отель;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/196521/
71,2 м² Апартамент на 65 этаже Москва Сити с видом на комплекс башен Neva Towers (Moscow city Neva Towers);Апартаменты, отель;+79111023333;https://www.loft2rent.ru/loft/107530/;https://www.loft2rent.ru/loft/107530/149409/
76 floor Rise Apartments Шикарный апартамент с видом на Москву!;Апартаменты, зал;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/196554/
80 этаж! Самый высокий апартамент! Вид на МГУ, Лужники, Парк Победы, башни и город!;Апартаменты, отель;89958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/196513/
90FloorMYTH | 90Floor;Лофт, ночной клуб, клуб;+7 495 489 90 90;N/A;https://www.loft2rent.ru/loft/63709/68443/
90FloorSKY | 90Floor;Лофт, конференц-зал;+7 495 489 90 90;N/A;https://www.loft2rent.ru/loft/63709/63741/
90FloorПанорамный ресторан китайской кухни MUME;Ресторан, бар;+7 495 489 90 90;N/A;https://www.loft2rent.ru/loft/63709/123926/
A-More Loft / А'Море;Банкетный зал, лофт, зал, детский центр;+79772959526;https://www.loft2rent.ru/loft/104772/;https://www.loft2rent.ru/loft/104772/201758/
Academia Antikino / Академия АнтикиноБор;Лофт;7 919 725-17-16;N/A;https://www.loft2rent.ru/loft/124262/124576/
Academia Antikino / Академия АнтикиноКлассический лофт Академии;Коворкинг, лофт, антикафе;7 919 725-17-16;N/A;https://www.loft2rent.ru/loft/124262/124649/
Academia Antikino / Академия АнтикиноСаванна;Лофт;7 919 725-17-16;N/A;https://www.loft2rent.ru/loft/124262/124578/
Academia Antikino / Академия АнтикиноТропики;Лофт;7 919 725-17-16;N/A;https://www.loft2rent.ru/loft/124262/124567/
Accademia del GustoКулинарная студия Accademia del Gusto;Кулинарная студия;+74993254167;N/A;https://www.loft2rent.ru/loft/34892/35122/
Accademia del GustoКулинарная студия Accademia del Gusto (зал 2);Банкетный зал, ресторан, кулинарная студия;+74993254167;N/A;https://www.loft2rent.ru/loft/34892/42748/
Adornos Center;Банкетный зал, зал;+79850787134;N/A;https://www.loft2rent.ru/loft/207664/207805/
AG LOFTCHALET / ШАЛЕ;Лофт, бар, зал;+7 (495) 032-36-35;N/A;https://www.loft2rent.ru/loft/1926/44130/
AGNOSTIC Лофт ( 130 м.кв) с Тёплой Верандой(45 кв.м) , Грилем и лучшим звуком ( с середины июня будет выход на крышу 350 м.кв);Лофт, ночной клуб, веранда;+79263579391;https://www.loft2rent.ru/loft/13771/;https://www.loft2rent.ru/loft/13771/26592/
AJNA LOFT-BOUTIQUE;Лофт;+79817600001;https://www.loft2rent.ru/loft/112573/;https://www.loft2rent.ru/loft/112573/112585/
Alibi LoftALIBI loft;Лофт, зал, конференц-зал, учебный зал;+7 915 052 80 83;N/A;https://www.loft2rent.ru/loft/39664/39667/
Alle Hall уютное пространство для ваших мероприятий;Лофт, галерея, конференц-зал, концертный зал;+74998881829;https://www.loft2rent.ru/loft/121787/;https://www.loft2rent.ru/loft/121787/121789/
AllShapes Loft;Лофт, квест;+79154653461;N/A;https://www.loft2rent.ru/loft/106044/127341/
AllShapes LoftМосковский Императорский Яхт клуб;Лофт, особняк, на открытом воздухе, веранда;+79154653461;N/A;https://www.loft2rent.ru/loft/106044/113862/
Aloha loft;Лофт;+7 (495)0080403;https://www.loft2rent.ru/loft/30985/;https://www.loft2rent.ru/loft/30985/82928/
ANDY HALL;Лофт, зал, конференц-зал;+7 (495) 120-19-05;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/29280/
ANGELBLESS;Лофт, фотостудия;+79620358888;N/A;https://www.loft2rent.ru/loft/182805/182807/
Angle 30 floor Apartments Москва Сити;Апартаменты;+79958998202;https://www.loft2rent.ru/loft/171815/;https://www.loft2rent.ru/loft/171815/172056/
Aquarel Hall;Лофт;88124674730;https://www.loft2rent.ru/loft/74440/;https://www.loft2rent.ru/loft/74440/137970/
Arbat Secret Loft;Бар, зал;+7 (499) 113-37-75;N/A;https://www.loft2rent.ru/loft/132813/132815/
Arch  loft;Лофт;+79277772200;N/A;https://www.loft2rent.ru/loft/119864/119893/
ARCHILOFT;Банкетный зал, лофт, конференц-зал, особняк;+7 (495) 185-56-99;N/A;https://www.loft2rent.ru/loft/21863/21864/
ARCOBALENO LOFT / АРКОБАЛЕНО ЛОФТ;Банкетный зал, лофт, зал, детский центр;+79530505020;N/A;https://www.loft2rent.ru/loft/107118/123108/
Arendalofta_nnMisterio (Мистерио);Лофт, зал, игровой зал, веранда;8 (929) 055-18-05;N/A;https://www.loft2rent.ru/loft/76195/178884/
