название;тип_лофт;телефон;сайт;ссылка
1920 Loft;Лофт, вечеринка, 120 м², 75 человек;;N/A;https://www.reveltime.ru/venue/539949?eventtype=vecherinka
3f-loft Лофт-пространство в белом кирпиче;Лофт, вечеринка, 200 м², 100 человек;;N/A;https://www.reveltime.ru/venue/356906?eventtype=vecherinka
713.Media. Зал 75м для вечеринок;Лофт, вечеринка, 75 м², 30 человек;;N/A;https://www.reveltime.ru/venue/209837?eventtype=vecherinka
713.Media. Лофт для вашего праздника;Лофт, вечеринка, 55 м², 45 человек;;N/A;https://www.reveltime.ru/venue/209166?eventtype=vecherinka
Agnostic Loft. Лофт с верандой;Лофт, вечеринка, 140 м², 90 человек;+79263579391;N/A;https://www.reveltime.ru/venue/2407981?eventtype=vecherinka
AIRLOFT Стильный лофт в центре Москвы;Лофт, вечеринка, 98 м², 40 человек;;N/A;https://www.reveltime.ru/venue/2571326?eventtype=vecherinka
AIRLOFT. Камерный лофт в особняке;Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/1805580?eventtype=vecherinka
Apartment 26 Лофт для VIP вечеринок;Лофт, вечеринка, 100 м², 70 человек;;N/A;https://www.reveltime.ru/venue/214930?eventtype=vecherinka
Apriori Photo Коричневый лофт с верандой;Лофт, вечеринка, 60 м², 40 человек;+74950034525;N/A;https://www.reveltime.ru/venue/455631?eventtype=vecherinka
ARCHILOFT(АРХИЛОФТ). Два смежных пространства Acryl Space (Акрил Спэйс) и Steel Space (Стил Спэйс);Лофт, вечеринка, 450 м², 350 человек;+79676932714;N/A;https://www.reveltime.ru/venue/2989016?eventtype=vecherinka
Art Union Двухуровневый арт-лофт;Лофт, вечеринка, 75 м², 35 человек;+79959013745;N/A;https://www.reveltime.ru/venue/4370594?eventtype=vecherinka
artloft Уютный двухуровневый лофт;Лофт, вечеринка, 55 м², 20 человек;;N/A;https://www.reveltime.ru/venue/5014271?eventtype=vecherinka
Atmos Loft (Атмос Лофт). Стильная площадка с яркими акцентами;Лофт, вечеринка, 75 м², 45 человек;+79584610759;N/A;https://www.reveltime.ru/venue/4922038?eventtype=vecherinka
"B&amp;B Bradu bar Лофт-бар с панорамными окнами";Лофт, вечеринка, 78 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3470636?eventtype=vecherinka
