Телефон,Организация
79812917202,"""Комната"". Бильярд, Музыка, Еда."
79213544851,"""Культурный зал"""
79626992144,"""ЛОФТ-БАР"" с караоке"
79013337731,"""Подземелье Слизерин"""
74996525161,#СибирьСибирь
79671267160,+39 Trattoria&Pizzeria
79233552913,0.75 Please
79850750750,0.75 please
74953239994,1 Арт Отель
74953239999,1 Арт Отель
79685084754,1 Арт Отель
79689924484,1 зал Караоке Лофт-студии
79612267251,1 Зал Шайн 45 м2
79264331399,16 Тонн Арбат
79299081101,"1839Винтажный зал в центре Москвы, зал Винтаж"
79257471930,1930 Moscow
79031888081,2-х уровневое пространство с террасой
79689739030,207
79895952121,"21.KultСтаринные залы в особняке 18 века ""21.KULT"""
74957255400,2x2 TV
74957378717,2x2 TV
74957806039,2x2 TV
79166683000,3-е место - лофт на Тульской
79111023333,300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД
74959882090,3DNews
79958998202,44 Sky Daimond Aparment
79364444815,4Brewers pub
74997693333,800 Contemporary
74954899090,90FloorПанорамный ресторан китайской кухни MUME
74996090069,[KU:] Рамен Изакая
79772959526,A-More Loft / А'Море
74991101873,A101 Development
79197251716,Academia Antikino / Академия АнтикиноБор
74993254167,Accademia del GustoКулинарная студия Accademia del Gusto
74956605353,Adagio Kievskaya
74957205303,Adagio Moscow Sheremetyevo
74957894749,AdIndex
79096229002,AdIndex
79850787134,Adornos Center
74957803141,Aerostar
74996539193,Aerostar
79052475823,Aerostar
79081534858,Aerostar
79182980559,Aerostar
79191314877,Aerostar
79191705445,Aerostar
79207000214,Aerostar
79851126091,Aerostar
79874055898,Aerostar
74950217659,Aerostar Hotel
