Телефон,Организация
+7 981 291-72-02,"""Комната"". Бильярд, Музыка, Еда."
+79213544851,"""Культурный зал"""
+7 962 699-21-44,"""ЛОФТ-БАР"" с караоке"
+79013337731,"""Подземелье Слизерин"""
+74996525161,#СибирьСибирь
+79671267160,+39 Trattoria&Pizzeria
+7 (923) 355-29-13,0.75 Please
+79850750750,0.75 please
+7 (495) 323-99-94,1 Арт Отель
+7 (495) 323-99-99,1 Арт Отель
+7 (968) 508-47-54,1 Арт Отель
+7 (968) 992 44 84,1 зал Караоке Лофт-студии
89612267251,1 Зал Шайн 45 м2
89264331399,16 Тонн Арбат
+7 (929) 908 11 01,"1839Винтажный зал в центре Москвы, зал Винтаж"
+7 (925) 747-19-30,1930 Moscow
89031888081,2-х уровневое пространство с террасой
+79689739030,207
7 989 595 2121,"21.KultСтаринные залы в особняке 18 века ""21.KULT"""
+7 (495) 725-54-00,2x2 TV
+7 (495) 737-87-17,2x2 TV
+7 (495) 780-60-39,2x2 TV
+79166683000,3-е место - лофт на Тульской
+79111023333,300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД
+7 (495) 988-20-90,3DNews
+79958998202,44 Sky Daimond Aparment
89364444815,4Brewers pub
+74997693333,800 Contemporary
+7 495 489 90 90,90FloorПанорамный ресторан китайской кухни MUME
+74996090069,[KU:] Рамен Изакая
+79772959526,A-More Loft / А'Море
+7 (499) 110-18-73,A101 Development
7 919 725-17-16,Academia Antikino / Академия АнтикиноБор
+74993254167,Accademia del GustoКулинарная студия Accademia del Gusto
+7 (495) 660-53-53,Adagio Kievskaya
+7 (495) 720-53-03,Adagio Moscow Sheremetyevo
+7 (495) 789-47-49,AdIndex
+7 (909) 622-90-02,AdIndex
+79850787134,Adornos Center
+7 (495) 780-31-41,Aerostar
+7 (499) 653-91-93,Aerostar
+7 (905) 247-58-23,Aerostar
+7 (908) 153-48-58,Aerostar
+7 (918) 298-05-59,Aerostar
+7 (919) 131-48-77,Aerostar
+7 (919) 170-54-45,Aerostar
+7 (920) 700-02-14,Aerostar
+7 (985) 112-60-91,Aerostar
+7 (987) 405-58-98,Aerostar
+7 (495) 021-76-59,Aerostar Hotel
