Телефон,Организация,Тип
79812917202,"""Комната"". Бильярд, Музыка, Еда.",лофт
79213544851,"""Культурный зал""",лофт
79626992144,"""ЛОФТ-БАР"" с караоке",лофт
73433630042,"""Не верь никому"" - Караоке лофт Секретные Материалы",лофт
79013337731,"""Подземелье Слизерин""",лофт
74996525161,#СибирьСибирь,ресторан
79671267160,+39 Trattoria&Pizzeria,ресторан
73912152913,0.75 Please,ресторан / бар
79233552913,0.75 Please,ресторан / бар
79850750750,0.75 please,ресторан
74953239994,1 Арт Отель,отель
74953239999,1 Арт Отель,отель
79685084754,1 Арт Отель,отель
79689924484,1 зал Караоке Лофт-студии,лофт
79612267251,1 Зал Шайн 45 м2,лофт
79264331399,16 Тонн Арбат,лофт
79299081101,"1839Винтажный зал в центре Москвы, зал Винтаж",лофт
79257471930,1930 Moscow,концертная площадка / клуб
79031888081,2-х уровневое пространство с террасой,лофт
79689739030,207,лофт
79895952121,"21.KultСтаринные залы в особняке 18 века ""21.KULT""",лофт
74957255400,2x2 TV,телеканал
74957378717,2x2 TV,телеканал
74957806039,2x2 TV,телеканал
79166683000,3-е место - лофт на Тульской,лофт
79111023333,300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД,лофт
74959882090,3DNews,медиа / IT-издание
79958998202,44 Sky Daimond Aparment,лофт
79364444815,4Brewers pub,лофт
74997693333,800 Contemporary,ресторан
74954899090,90FloorПанорамный ресторан китайской кухни MUME,лофт
74996090069,[KU:] Рамен Изакая,ресторан / бар
79772959526,A-More Loft / А'Море,лофт
74991101873,A101 Development,девелопер
79197251716,Academia Antikino / Академия АнтикиноБор,лофт
74993254167,Accademia del GustoКулинарная студия Accademia del Gusto,лофт
74956605353,Adagio Kievskaya,апарт-отель
74957205303,Adagio Moscow Sheremetyevo,апарт-отель
74957894749,AdIndex,медиа / маркетинговое издание
79096229002,AdIndex,медиа / маркетинговое издание
79850787134,Adornos Center,лофт
375172152263,Aerostar,отель
73833633194,Aerostar,отель
74957803141,Aerostar,отель
74996539193,Aerostar,отель
78123345401,Aerostar,отель
79052475823,Aerostar,отель
79081534858,Aerostar,отель
79182980559,Aerostar,отель
79191314877,Aerostar,отель
79191705445,Aerostar,отель
79207000214,Aerostar,отель
79851126091,Aerostar,отель
79874055898,Aerostar,отель
73432268606,Aerostar Hotel,отель
73432726555,Aerostar Hotel,отель
73452593444,Aerostar Hotel,отель
73452593777,Aerostar Hotel,отель
73456262701,Aerostar Hotel,отель
73456399104,Aerostar Hotel,отель
73472359000,Aerostar Hotel,отель
73525369009,Aerostar Hotel,отель
73525369205,Aerostar Hotel,отель
73533622445,Aerostar Hotel,отель
73832176970,Aerostar Hotel,отель
73832231215,Aerostar Hotel,отель
73833164165,Aerostar Hotel,отель
73842496505,Aerostar Hotel,отель
73842777450,Aerostar Hotel,отель
73857720566,Aerostar Hotel,отель
73857720568,Aerostar Hotel,отель
73902248395,Aerostar Hotel,отель
73952705070,Aerostar Hotel,отель
74015321608,Aerostar Hotel,отель
74015321609,Aerostar Hotel,отель
74015322489,Aerostar Hotel,отель
74015322659,Aerostar Hotel,отель
74112391313,Aerostar Hotel,отель
74112500585,Aerostar Hotel,отель
74113646409,Aerostar Hotel,отель
74212755552,Aerostar Hotel,отель
74212755553,Aerostar Hotel,отель
74232412808,Aerostar Hotel,отель
74232413500,Aerostar Hotel,отель
74242300877,Aerostar Hotel,отель
74732065857,Aerostar Hotel,отель
74732065858,Aerostar Hotel,отель
74739141086,Aerostar Hotel,отель
74739172312,Aerostar Hotel,отель
74752631111,Aerostar Hotel,отель
74752631127,Aerostar Hotel,отель
74842500000,Aerostar Hotel,отель
74852590905,Aerostar Hotel,отель
74852590909,Aerostar Hotel,отель
74853567000,Aerostar Hotel,отель
74853567067,Aerostar Hotel,отель
74853567070,Aerostar Hotel,отель
74853567076,Aerostar Hotel,отель
74872268682,Aerostar Hotel,отель
74950217659,Aerostar Hotel,отель
74951815800,Aerostar Hotel,отель
74952202525,Aerostar Hotel,отель
74952234274,Aerostar Hotel,отель
74952800613,Aerostar Hotel,отель
74954326549,Aerostar Hotel,отель
74955074707,Aerostar Hotel,отель
74955077534,Aerostar Hotel,отель
74955684800,Aerostar Hotel,отель
74957883676,Aerostar Hotel,отель
74959319000,Aerostar Hotel,отель
74959319036,Aerostar Hotel,отель
74959319053,Aerostar Hotel,отель
74959319890,Aerostar Hotel,отель
74959872111,Aerostar Hotel,отель
74959872222,Aerostar Hotel,отель
74959883131,Aerostar Hotel,отель
74959944450,Aerostar Hotel,отель
74993229282,Aerostar Hotel,отель
74997033453,Aerostar Hotel,отель
78001005668,Aerostar Hotel,отель
78002000048,Aerostar Hotel,отель
78002004046,Aerostar Hotel,отель
78003021960,Aerostar Hotel,отель
78005518885,Aerostar Hotel,отель
78005552777,Aerostar Hotel,отель
